"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"14","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","826038","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/14","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person17"
"21","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","549904","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/21","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person24"
"8","","SCS1","Head of Corporate Legal Services","Responsible for the provision of legal advice to Land Registry on non-registration matters including compliance with central guidance and public rights legislation on competition issues, intellectual property rights, data protection, freedom of information and human rights.","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","458195","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/8","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person11"
"1","Malcolm Dawson","SCS2","Chief Executive and Chief Land Registrar","The chief executive of Land Registry, reporting to the Lord Chancellor. Responsible for the strategic direction and management of the Agency's operations, and answerable to Parliament for the proper financial management of Land Registry.","Ministry of Justice","Land Registry","Chief Land Registrar�s Office","0300 0067 251","jon.shepherd@landregistry.gsi.gov.uk","XX","983723","1","105000","109999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/land-registry/post/1","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person3"
"6","Heather Foster","SCS1","Finance Director","Responsible for strategic financial, procurement and project planning. Financial management and business planning. Accountable and responsible for all aspects of the Finance Directorate which includes; Business Planning, Finance, Corporate Procurement, Project and Programme Centre, Risk Management and Internal Audit.","Ministry of Justice","Land Registry","Finance Directorate","0300 0067 568","louise.guthrie@landregistry.gsi.gov.uk","1","3599407","1","90000.00","94999","","Finance","","","http://reference.data.gov.uk/id/public-body/land-registry/post/6","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person8"
"16","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","529246","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/16","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person19"
"23","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","518605","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/23","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person26"
"2","John Wright","SCS2","Director of Information Systems","Accountable and responsible for all aspects of the Information Systems (IS) Directorate. Responsible for providing information systems to Land Registry's staff and customers, and for providing leadership to the IS community. This includes the direction of Land Registry�s IS policies, practices and resources including its personnel, external contracts, enterprise architecture, information assets and overall responsibility for information security. Senior Responsible Owner of Land Registry's e-services programme and Service Delivery programme.","Ministry of Justice","Land Registry","Information Systems","0300 0064 176","veronica.montague@landregistry.gsi.gov.uk","1","13299292","1","100000","104999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/land-registry/post/2","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person4"
"19","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","367384","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/19","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person22"
"12","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","N/D","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/12","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person15"
"17","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","392253","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/17","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person20"
"9","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","618666","0.65","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/9","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person12"
