,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
24,31,Eliminated,SCS1,Acting Head of Feed-in Tariffs team,Run Feed-in tariffs scheme and carry out review,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,correspondence@decc.gsi.gov.uk,9,0.0,1.0,0,0,0,Policy,,1
25,32,N/D,SCS1,Head Licensing exploration and Development ,Licensing  UK's oil and gas and CO2 ,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,5,1955805.0,1.0,95000,99999,0,Policy,,1
26,33,N/D,SCS1,Head of Renewables Programme Team,"To run the programme within the Office for Renewable Energy Deployment to deliver the overall programme for the 2020 renewables target and to manage the policy and delivery of related financial incentives, including the renewables obligation and the feed-in-tariffs scheme.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,9,259381.0,1.0,65000,69999,0,Policy,,1
27,34,David Mackay,SCS3,Chief Scientific Adviser,"Ensuring that the Department’s policies and operations, and its contributions to wider Government issues, are underpinned by the best science and engineering advice available. ",Department of Energy and Climate Change,Department of Energy and Climate Change,Chief Scientific Advisor,0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,122496.0,0.8,130000,134999,0,Science and Engineering,"The salary shown is not actual as Secondee salaries are not disclosed as part of this exercise, but a representation of the salary for the role.",1
28,35,Paul Hollinshead,SCS2,Director of Science and Innovation,"To manage the science and innovation programme that underpins future UK energy security, provides evidence to underpin decision making and contributes to the reduction of the risk of climate change",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,131,129235.0,1.0,80000,84999,0,Science and Engineering,,1
29,36,N/D,SCS1,Head of Science,Science and Analysis ,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,35,1089137.0,1.0,75000,79999,0,Science and Engineering,,1
30,37,N/D,SCS1,Head of Engineering,"Management of innovation policy, innovation delivery and central engineers",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,35,1480465.0,1.0,85000,89999,0,Science and Engineering,,1
31,38,Angie Ridgewell,SCS3,"Director General, Finance & Corporate Services",Responsible for corporate and other services that meet DECC’s needs and provide value for money,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,1135345.0,0.6,140000,144999,0,Policy,,1
32,39,Joanna Shanmugalingam,SCS2,Strategy Director,Responsible for the strategy and communications directorates,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,1891141.0,0.6,80000,84999,0,Policy,"Job Share. Includes costs of posts 57, 62, 46, 102",1
33,39,Susannah Storey,SCS2,Strategy Director,Responsible for the strategy and communications directorates,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,1891141.0,0.6,115000,119999,0,Policy,"Job Share. Includes costs of posts 57, 62, 46, 102",1
34,40,Vanessa Howlison,SCS2,Finance Director,Responsible for ensuring that DECC manages its resources effectively and gets good value for money for the taxpayer.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,38,1787516.0,1.0,125000,129999,0,Finance,"Includes costs of posts 48, 64, 136",1
35,41,Scott Milligan,SCS2,Director of Legal Services,To provide Legal Advice and Services for DECC,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,38,3427257.0,0.8,120000,124999,0,Law,"Includes costs of posts 137,59,51,53,47,58,56,114",1
36,42,Rod Davis,SCS2,HR Director,"To deliver a people strategy that will enable the Department to meet its challenging people agenda. This includes the development and delivery of a range of strategies such as pay and reward, learning and development, and diversity.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,38,1781217.0,1.0,115000,119999,0,Human Resources,"Includes people not in post and costs of posts 50, 94",1
37,43,Steven Fries,SCS2,Chief Economist and Director of Analysis,Lead and Manage the Chief Economist's Directorate and Serve as Head of Analytical Professions,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,38,1434463.0,1.0,135000,139999,0,Economics,"Includes costs of posts 44, 103, 65",1
38,44,N/D,SCS1,Deputy Chief Economist and Head of Strategic Analysis,To provide strategic advice and analysis to support DECC in developing and evaluating policies,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,43,0.0,1.0,65000,69999,0,Economics,Costs includfed in post 43,1
39,45,Scott McPherson,SCS2,Portfolio Director,Enabling DECC to achieve its strategic objectives through effective management of its portfolio of projects and programmes and strengthening the department’s project delivery capability.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,38,593059.0,1.0,80000,84999,0,Planning,,1
40,46,N/D,SCS1,"Head, Projects Team, Strategy Directorate","Responsible for cross-cutting, project-based strategy work.",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000 ,correspondence@decc.gsi.gov.uk,39,0.0,1.0,60000,64999,0,Policy,Costs included in post 39,1
41,47,N/D,SCS1,"Deputy Director, Legal: Nuclear and Non-proliferation",To provide legal advice on Nuclear and Non-proliferation issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,1.0,65000,69999,0,Law,Costs included in post 41,1
42,48,N/D,SCS1,Head of Financial Accounting,"Responsible for preparing the financial accounts for the department, financial accounting advice, and managing the supply of shared services to the department.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,40,0.0,1.0,80000,84999,0,Finance,Costs included in post 40,1
43,49,N/D,SCS1,Principal Private Secretary,Private Office and Parliamentary Support to Ministers and the Permanent Secretary,Department of Energy and Climate Change,Department of Energy and Climate Change,Private Office Group,0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,946801.0,1.0,65000,69999,0,Policy,,1
44,50,N/D,SCS1,"Head of HR Pay, Policy and Operations","To provide legally compliant and best practice HR policy, pay strategy and advice",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,42,0.0,1.0,85000,89999,0,Human Resources,Costs included in post 42,1
45,51,N/D,SCS1,"Deputy Director, Legal: Upstream Energy, FiTs and CCS","To provide legal advice on Upstream Energy, FiTs and CCS issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,1.0,80000,84999,0,Law,Costs included in post 41,1
46,52,N/D,SCS1,Chief Information Officer,"Responsible for strategy, policy and provision of services related to IT, Security, Accommodation, Sustainability and Knowledge and Information Management services to the Department",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,40,1010554.0,1.0,100000,104999,0,Knowledge and Information Management (KIM),,1
47,53,N/D,SCS1,"Deputy Director, Legal: Electricity Market Reform & Ofgem Review",To provide legal advice on Electricity Market Reform & Ofgem Review issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,1.0,75000,79999,0,Law,Costs included in post 41,1
48,54,Vacant ,SCS1,Head of Portfolio Office,To lead a team with oversight of DECC projects,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,45,0.0,1.0,0,0,0,Policy,This post is vacant,1
49,55,N/D,SCS1,Head of Statistics and Head of Profession for Statistics,Statistics,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,43,1059531.0,1.0,60000,64999,0,Statisticians,,1
50,56,N/D,SCS1,"Deputy Director, Legal: Commercial and Renewables",To provide legal advice on commercial matters and renewables,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,1.0,70000,74999,0,Law,Costs included in post 41,1
51,57,N/D,SCS1,"Head of Futures Team, Strategy Directorate",The team helps ensure that DECC’s actions are consistent with meeting our 2050 target and helps other countries to replicate DECC’s approach.,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000 ,correspondence@decc.gsi.gov.uk,39,0.0,0.8,70000,74999,0,Policy,Costs included in post 39,1
52,58,N/D,SCS1,"Deputy Director, Legal: Climate Change & International",To provide legal advice on Climate Change & International issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,1.0,70000,74999,0,Law,Costs included in post 41,1
53,59,N/D,SCS1,"Deputy Director, Legal: Energy Efficiency, Heat and Fuel Poverty","To provide legal advice on Energy Efficiency, Heat and Fuel Poverty issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,0.75,70000,74999,0,Law,Job Share. Costs included in post 41,1
54,59,N/D,SCS1,"Deputy Director, Legal: Energy Efficiency, Heat and Fuel Poverty","To provide legal advice on Energy Efficiency, Heat and Fuel Poverty issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,0.75,70000,74999,0,Law,Job Share. Costs included in post 41,1
55,60,Eliminated,SCS1,DECC Future,"Responsible for Carbon Budgets, the 2050 Calculator, and ad hoc policy projects",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,,correspondence@decc.gsi.gov.uk,39,0.0,1.0,0,0,0,Policy,,1
56,61,N/D,SCS1,Head of Climate Change Economics,Economic analysis undepinning UK climate change mitigation and energy efficiency policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,109,714557.0,1.0,60000,64999,0,Economics,,1
57,62,N/D,SCS1,"Deputy Director, Strategy Projects","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy, and responsible for carbon budget management and implementation of the Climate Change Act",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000 ,correspondence@decc.gsi.gov.uk,39,0.0,1.0,85000,89999,0,Policy,Costs included in post 39,1
58,63,Eliminated,SCS1,Head of DECC Delivery Unit,"Improving the likelihood that DECC achieves its objectives through targeted support and challenge to policy and delivery teams. Also coordinate assurance, approvals, performance management, risk reporting and project & programme management across DECC.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,,correspondence@decc.gsi.gov.uk,45,0.0,1.0,0,0,0,Policy,,1
59,64,N/D,SCS1,Head of Financial Management and Control,Financial Control,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,40,0.0,1.0,75000,79999,0,Finance,Costs included in post 40,1
60,65,N/D,SCS1,Head of Modelling,Developing analytical models to support design and implementation of DECC policies. Design an implementing quality assurance processes and governance for analytical models.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,43,0.0,1.0,75000,79999,0,Policy,Costs includfed in post 43,1
61,66,Peter Betts,SCS2,"Director, International Climate Change","Leadership of the Government’s overall strategy for international action on climate change, including leading in the UN negotiations and on DECC’s interest in disbursement of climate finance and in wider influencing.",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,131,54455.0,1.0,95000,99999,0,Policy,,1
62,67,Edmund Hosker,SCS2,"Director, International, EU and Energy Resilience","Responsible for International Energy, EU issues and energy resilience",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,131,75097.0,1.0,110000,114999,0,Policy,,1
63,68,N/D,SCS1,Head of European Policy,To develop European Energy Policy,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,67,969958.0,1.0,70000,74999,0,Policy,,1
64,70,N/D,SCS1,"Deputy Director, International Climate Policy and Finance","Responsible for international climate finance (including the UK’s International Climate Fund, the Capital Markets Climate Initiative, and long-term sources of finance), and Government policy on EU emissions reduction targets, global carbon markets, international forests, and Monitoring, Reporting & Verification (MRV).",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,66,1314364.0,1.0,60000,64999,0,Policy,,1
65,71,Eliminated,SCS1,,"Government’s overall strategy for international action on climate change, including UN negotiations and DECC’s interest in disbursement of climate finance and in wider influencing.",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",,correspondence@decc.gsi.gov.uk,66,0.0,1.0,0,0,0,Policy,,1
66,72,N/D,SCS1,Deputy Programme Director Smart Metering ,Rollout and Consumer Engagement,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,97,0.0,1.0,55000,59999,0,Policy,Costs included in post 97,1
67,73,Eliminated,SCS1,Head of URENCO Future Options Team,To review and advise on the future options for the UK’s shareholding in URENCO,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,,correspondence@decc.gsi.gov.uk,38,0.0,1.0,0,0,0,Policy,,1
68,74,N/D,SCS1,Head of International Negotiations,UK Lead Climate Negotiator/ Head of International Climate Negotiations Team,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,66,432243.0,1.0,55000,59999,0,Policy,,1
69,76,Stephen Speed,SCS3,"Acting Director General, Consumers & Households","Director General with responsibility to encourage the transition to a low-carbon economy, with help for those who need it most.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,565531.0,1.0,105000,109999,0,Policy,"Includes costs of posts 109, 100, 80",1
70,77,Eliminated,SCS2,National Climate Change,Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,correspondence@decc.gsi.gov.uk,76,0.0,1.0,0,0,0,Policy,,1
71,78,Arthur Leathley,SCS2,Communications,"The Communications team leads DECC work on external relationships with media, stakeholders and public. This includes media work with print and broadcast outlets, direct contact with major companies, NGOs and consumer organisations, as well as close links with public through digital channels and in correspondence. The team also organises ministerial visits and plans long-term strategy around key themes. Internally, the team coordinates messaging to all staff through a range of channels, including intranet, large-scale group meetings and face-to-face communication.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,1642837.0,1.0,120000,124999,0,Communications,"Includes costs of posts 90, 93",1
72,79,N/D,SCS1,"Head of International Climate Change Strategy, Engagement and Analysis",To co-ordinate cross Whitehall strategy on climate change and engagement with other countries (with FCO) and with business and civil society. ,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,66,969539.0,1.0,60000,64999,0,Policy,,1
73,80,Jon Booth,SCS2,Director of Household Energy Efficiency ,"Programme of legislation for the Green Deal and Senior Responsible Officer for the programme, including the development of policy on accreditation, standards, redress and finance.  Procurement of Green Deal oversight and support services and sponsorship for Carbon Trust and Energy Saving Trust.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,76,0.0,1.0,80000,84999,0,Policy,Costs included in post 76,1
74,81,Daron Walker,SCS2,Smart Meters and Fuel Poverty,"Facilitate the transition to low carbon economy through the successful roll out of smart meters to homes and small businesses by 2019, and implementing projects that help more of the lowest income and vulnerable households with the costs of heating their homes.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,76,0.0,1.0,80000,84999,0,Policy,,1
75,82,Eliminated,SCS1,Carbon Budgets,Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,,correspondence@decc.gsi.gov.uk,39,0.0,1.0,0,0,0,Policy,,1
76,83,N/D,SCS1,Head of Finance and Delivery Team,Team responsibilities include: co-ordinating the implementation of the EU Energy Efficiency Directive and implementing certain aspects; and the financing of non-domestic energy efficiency improvements in both the private and public sectors.,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,109,685274.0,1.0,80000,84999,0,Policy,,1
77,84,Eliminated,SCS1,Head - Fuel Poverty,Fuel Poverty policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,correspondence@decc.gsi.gov.uk,81,0.0,1.0,0,0,0,Policy,,1
78,85,N/D,SCS1,"Head, Smart Metering Policy and Strategy",Development of strategy and policy on smart metering,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,81,747680.0,1.0,65000,69999,0,Policy,,1
79,86,N/D,SCS1,"Head, Industrial Energy Efficiency",Industrial Energy Efficiency,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,100,1470008.0,1.0,70000,74999,0,Policy,,1
80,87,Eliminated,SCS1,Acting Head of Renewable Heat Premium Payment,To develop Renewable Heat Premium Payment policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,correspondence@decc.gsi.gov.uk,100,0.0,1.0,0,0,0,Policy,,1
81,88,N/D,SCS1,Head of Customer Insight,Customer insight and social research,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,109,447745.0,1.0,75000,79999,0,Policy,,1
82,89,N/D,SCS1,"Head, Renewable Heat Incentive",Responsible for leading the development and implementation of the Renewable Heat Incentive and Renewable Heat Premium Payment,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,100,1697584.0,1.0,60000,64999,0,Policy,,1
83,90,N/D,SCS1,Head of News,To provide a DECC news and digital media information service to the public,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,78,0.0,1.0,65000,69999,0,Communications,,1
84,91,Eliminated,SCS1,,DECC News,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,,correspondence@decc.gsi.gov.uk,39,0.0,1.0,0,0,0,Communications,,1
